stockid,MSYbest
ACADRED2J3K,3000
ACADRED3LNO-UT12,116000
ACADREDGOMGB,10466
ACADREDUT3,131000
ACMACKSARG,
ALBAIO,38800
ALBAMED,28900
ALBANATL,36650
ALBANPAC,105571
ALBASATL,25147.5
ALBASPAC,76800
ALPLAICBSAI,
ALSKABSAI,
AMPL3LNO,
AMPL3M,
AMPL4T,
AMPL4VWX,5113
AMPL5YZ,2675
ANCHIXa,
ANCHMEDGSA1,
ANCHMEDGSA16,2359
ANCHMEDGSA17-18,
ANCHMEDGSA29,
ANCHMEDGSA6,
ANCHMEDGSA9,
ANCHOBAYB,
ANCHOSA,
ANCHOVYKILKACS,44652
ANGLMEDGSA15-16,
ANGLMEDGSA5,
ANGLMEDGSA6,
ANGLMEDGSA7,
APOLLNEMS,
APOLLNSJ,45206.50965
APOLLOKS,
APOLLPJPN,176347.6986
ARCSURFGB,
ARFLOUNDBSAI,
ARFLOUNDGA,254271
ARFLOUNDPCOAST,5844
ARGANCHONARG,222163
ARGANCHOSARG,454000
ARGHAKENARG,
ARGHAKESARG,
ATBTUNAEATL,40252.1
ATBTUNAWATL,5233.41
ATHAL3NOPs4VWX5Zc,
ATHAL5YZ,3500
ATKABSAI,
ATLCROAKMATLC,
ATOOTHFISHRS,3105.3982
AUROCKPCOAST,72
AUSSALMONNZ,3371.82
AWOLF5YZ,244
BCRABCHESB,
BGRDRNSWWA,4491.953438
BGROCKPCOAST,222
BHEADSHARATL,
BIGEYEATL,92000
BIGEYECWPAC,108520
BIGEYEEPAC,106201
BIGEYEIO,104000
BIGHTREDSE,624.7468834
BIGSKA5CDE,351
BKCDLFENI,666
BKINGCRABPI,
BKINGCRABSMI,
BLACKGROUPERGMSATL,
BLACKOREOPR,670
BLACKOREOWECR,1947
BLACKROCKCAL,343
BLACKROCKORECOAST,518
BLACKROCKWASH,
BLINGVb-VI-VII,
BLKMARLINIO,8605
BLSHARNPAC,72123
BLTILESATLC,102.7512886
BLUEFISHATLC,13967
BLUEROCKCAL,275
BMACKECS,54757.32305
BMACKPJPN,145655.7838
BMARLINATL,2000
BMARLINIO,9524
BMARLINPAC,19459
BNOSESHARATL,89.415
BNSNZ,1209
BOCACCBCW,
BOCACCSPCOAST,1347
BRMSOJ,
BRNROCKPCOAST,149.9
BRNSHRIMPGM,
BSBASSMATLC,3284
BSBASSSATL,807.394472
BSQLOBSTERCSCH,
BSQLOBSTERNCH,
BTIPSHARATL,14900
BTIPSHARGM,
BUTTERGOMCHATT,
BWHITMEDGSA1,
BWHITMEDGSA6,
BWHITMEDGSA9,
BWHITNEA,
CABEZNCAL,129
CABEZORECOAST,48
CABEZSCAL,30
CALSCORPSCAL,127
CAPEIIa-V-XIV,
CAPENOR,
CHAKESA,62800
CHILISPCOAST,2133
CHMACKWA,
CHROCKCPCOAST,15.7
CHROCKNPCOAST,
CHROCKSPCOAST,21.1
CHSQUIDSA,
CHTRACCH,
CMACKPCOAST,23048.2
CMACKPJPN,355290.851
CMACKTSST,325542.1507
CMACKWA,
COBGM,1208
COBSATLC,366.502336
COD1IN,
COD2J3KL,
COD4TVn,
COD4X5Yb,
COD5Zjm,
CODBA2224,23000
CODBA2532,
CODFAPL,
CODGB,28774
CODGOM,10043
CODICE,
CODIf-XIV,
CODIIIaW-IV-VIId,
CODIS,
CODKAT,
CODNEAR,
CODNEARNCW,
CODVIa,
CODVIIek,10300
COWCODSCAL,69
CPANDMEDGSA15-16,
CPANDMEDGSA9,
CPRROCKPCOAST,196.97
CRLOBSTERSA12,
CRLOBSTERSA34,
CRLOBSTERSA56,
CRLOBSTERSA7,
CRLOBSTERSA8,
CROCKPCOAST,1226
CROCKWCVANISOGQCI,713.7922747
CSARDCSCH,
CTRACSA,72924.09
CUSK4X,1482.925
CUSKVa-XIV,
DEEPCHAKESA,118900
DEEPFLATHEADSE,1200.123574
DKROCKPCOAST,674
DOYSFS,
DSKSHARGMATL,
DSOLEGA,
DSOLEPCOAST,34757
DUSROCKGA,
EBASSIVbc-VII,
ESOLEHS,
ESOLEPCOAST,3875
EULAPCOASTFRDU,112
FLSOLEBSAI,83321
FLSOLEGA,
FMEG8c9a,
FTOOTHSHARATL,
GAGGM,
GAGSATLC,425.5603897
GEMFISHNZ,1432.042733
GEMFISHSE,
GFORKBMEDGSA9,
GHAL01ABCDEF,
GHAL23KLMNO,
GHALBSAI,
GHALNEAR,
GOLDREDNEAR,
GOLDREDV-VI-XII-XIV,
GOPHERSPCOAST,101
GRAMBERGM,1632.93264
GRAMBERSATLC,909.45
GRNSTROCKPCOAST,803
GRSHRIMPMEDGSA10,
GRSHRIMPMEDGSA11,
GRSHRIMPMEDGSA12-16,
GRSHRIMPMEDGSA18-19,
GRSHRIMPMEDGSA9,
GRSPROCKNCAL,58.8
GRSPROCKSCAL,55.9
GSTRGZRSTA7,608
GTRIGGM,446.5205007
HAD4X5Y,14700
HAD5Y,1083
HADFAPL,35000
HADGB,24900
HADICE,
HADIS,
HADNEAR,
HADNS-IIIa-VIa,
HADROCK,9000
HADVIIb-k,
HAKEMEDGSA15-16,
HAKEMEDGSA1-7,
HAKEMEDGSA17-18,
HAKEMEDGSA19,
HAKEMEDGSA20,
HAKEMEDGSA22-23,
HAKEMEDGSA9-11,
HAKENRTN,
HAKESOTH,
HERR2224IIIa,
HERR2529-32,
HERR30-31,
HERR4RFA,
HERR4RSP,
HERR4TFA,
HERR4TSP,
HERR4VWX,
HERRIsum,
HERRNIRS,
HERRNORSS,
HERRNS-IIIa-VIId,
HERRNWATLC,77247
HERRPWS,
HERRRIGA,
HERRSIRS,
HERRSITKA,
HERRVIa,
HERRVIaVIIbc,
HMACKIIa-IVa-Vb-VIa-VII-VIII,
HMACKIXa,
HMACKWA,
HOKIENZ,73100
HOKIWNZ,119800
JAMBERJPN,134880.3277
JANCHOPJPN,265609.5972
JANCHOSETO,69571.404
JANCHOTSST,149715.1118
JCSQUIDJPNAR,300926.458
JCSQUIDJPNWR,222668.703
JMACKPJPN,70940.57896
JMACKTSST,175541.5181
JPUFFIMKB,133.7354381
JPUFFSOJECSSI,257.5122692
KCROCKNPAC,743.568
KELPGREENLINGORECOAST,130
KINGKLIPSA,5855
KMACKGM,
KMACKSATLC,
KMFLOUNBSAI,
LINGCODNPCOAST,1734
LINGCODSOG,763
LINGCODSPCOAST,1678
LINGVa,
LISQUIDATLC,
LNOSESKAPCOAST,1268
LOBSTERGB,
LOBSTERGOM,
LOBSTERSNE,
LSTHORNHPCOAST,2529
MACKNEICES,
MEG8c9a,
MEGVII-VIIIabd,
MENATGM,
MENATLAN,
MHMACKMEDGSA29,
MONKGOMNGB,9383
MONKSGBMATL,14328
MORWONGESE,468.41264
MORWONGWSE,185.2761677
MULLQNSW,
MUTSNAPSATLCGM,413.9
NEPHFU11,
NEPHFU12,
NEPHFU13,
NEPHFU14,
NEPHFU15,
NEPHFU16,
NEPHFU17,
NEPHFU19,
NEPHFU2021,
NEPHFU22,
NEPHFU2829,
NEPHFU3-4,
NEPHFU6,
NEPHFU7,
NEPHFU8,
NEPHFU9,
NEPHMEDGSA1,
NEPHMEDGSA15-16,
NEPHMEDGSA17-18,
NEPHMEDGSA5,
NEPHMEDGSA6,
NEPHMEDGSA9,
NEPHVIIIab,
NPOUTIIIa-IV,
NROCKBSAI,
NROCKGA,6070
NRSOLEEBSAI,259310
NRSOLEGA,
NSHRIMPCSCH,
NSHRIMPNCH,
NZLINGESE,
NZLINGLIN3-4,6424
NZLINGLIN5-6,23827
NZLINGLIN6b,893.8449
NZLINGLIN72,544.244
NZLINGLIN7WC,5150
NZLINGWSE,
NZSNAPNZ1BOP-HAGU,
NZSNAPNZ1ENLD,
NZSNAPNZ7,699
NZSNAPNZ8,2284.7076
OFLOUNECS,1181.763806
OFLOUNNSJ,1556.224123
OFLOUNPAC,2156.174
OFLOUNSETO,874.6563098
OPOUTNWATLC,3754
OROUGHYCASCADE,
OROUGHYCH,
OROUGHYESCR,8640
OROUGHYNWCR,1386
OROUGHYNZ7A,1848
OROUGHYNZMEC,2214
OROUGHYSE,2191.690032
PACBTUNA,17345
PANCHCCH,
PANCHCSCH,
PANCHNCHSP,
PANCHPERUNC,
PANDALGOM,
PANDALI-II,
PANDALIIIaW-IVaE,
PANDALSFA4,
PANDALSFA5,
PANDALSFA6,
PATGRENADIERCH,
PATGRENADIERSARG,132131
PAUANPAU5A,73
PAUAPAU5B,190
PAUAPAU5D,121
PAUAPAU7,207
PAUASPAU5A,57
PCEELARGS,11700
PCEELCSCH,
PCEELSCH,
PCOD5AB,763.3
PCODBS,
PCODGA,
PCODHOKK,
PCODHS,3313.1
PCODNPAC,188097.77
PCODSOJ,
PCODWCVANI,
PERCHEBSAI,
PERCHQCI,1488
PERCHWCVANI,1048
PHAKEPCOAST,406000
PHALNPAC,
PHFLOUNNHOKK,
PHFLOUNSOJ,2961.814499
PICAMEDGSA25,
PILCHPJPN,175942.4024
PILCHTSST,53011.80649
PINKSHRIMPGM,
PLAIC2123,
PLAIC7d,
PLAICCELT,
PLAICECHW,
PLAICIS,
PLAICNS,
PLAICVIIh-k,
POLL5YZ,19678
POLLFAPL,
POLLIEG,65000
POLLNEAR,
POLLNS-VI-IIIa,2.00E+05
POPERCHGA,20243
POPERCHPCOAST,1058
PORSHARATL,
PRCODMEDGSA9,
PSHRMPMEDGSA6,
PSOLEPCOAST,2588
PTOOTHFISHCH,
PTOOTHFISHMI,184.369
PTOOTHFISHPEI,1514.43
QROCKPCOASTIN,144
QROCKPCOASTOUT,462
QUAHATLC,
RBRMECS,11625.59874
RBRMMEDGSA1-3,
RBRMSETOE,3105.528673
RBRMSETOW,4173.130057
RDSHRMPMEDGSA1,
RDSHRMPMEDGSA10,
RDSHRMPMEDGSA15-16,
RDSHRMPMEDGSA6,
REDDEEP2J3K-3LNO,22000
REDDEEPDP-1-2-V-XII-XIV,
REDDEEPUT12,21000
REDFEAUS,913.2456563
REDFISHSPP3LN,24440
REDFISHSPP3M,
REXSOLEGA,
REXSOLEPCOAST,1646
REYEROCKBSAI,
REYEROCKGA,
RGROUPGM,6529.16
RGROUPSATL,503.49
RHERRPAC,
RHERRTSST,43991.57093
RKCRABBB,23645.80209
RKCRABNS,
RKCRABPI,
RMULLMEDGSA1,
RMULLMEDGSA10,
RMULLMEDGSA11,
RMULLMEDGSA15-16,
RMULLMEDGSA17-18,
RMULLMEDGSA19,
RMULLMEDGSA25,
RMULLMEDGSA29,
RMULLMEDGSA5,
RMULLMEDGSA6,
RMULLMEDGSA7,
RMULLMEDGSA9,
RPORGYSATLC,378.2960366
RROCKLOBSTERCRA1,161.109
RROCKLOBSTERCRA2,265.7825
RROCKLOBSTERCRA3,212.492
RROCKLOBSTERCRA4,679.969
RROCKLOBSTERCRA5,560.0995
RROCKLOBSTERCRA7,193.628
RROCKLOBSTERCRA8,1082.505
RROCKLOBSTERSAUSNZ,
RROCKLOBSTERSAUSSZ,
RSARDINWA,
RSFLOUNSOJ,1568.679061
RSHRMPMEDGSA1,
RSHRMPMEDGSA12-16,
RSHRMPMEDGSA17-19,
RSHRMPMEDGSA5,
RSNAPGM,5855.877884
RSNAPSATLC,195.044732
RSOLE5AB,524
RSOLEGA,
RSOLEHSTR,1895
RSQLOBSTERCSCH,
RSQLOBSTERNCH,
SAABALONESA,
SABLEFEBSAIGA,18950
SABLEFPCAN,3230
SABLEFPCOAST,7476
SAILEATL,851
SAILWATL,850
SARDINWA,
SARDMEDGSA16,5307
SARDMEDGSA17-18,
SARDMEDGSA6,
SARDPCOAST,
SARDPVIIIc-IXa,
SARDSA,
SARDVIIIabd,
SARDWAZC,
SAURNWPAC,474259.1
SBARSHARATL,403
SBELLYROCKPCOAST,
SBT,33000
SBWHITACIR,
SBWHITARGS,
SBWHITCH,
SCALL5ZMAB,23798
SCALLGB,
SCHHEADATL,
SCMPBP,342.4918
SCMPMB,
SCMPWHB,194
SCUPNWATLC,11752
SDOG4VWX5,741.67
SDOGATLC,
SDOGBLKGSA29,
SEELNSSA1,
SEELNSSA2,
SEELNSSA3,
SEELNSSA4,
SFLOUNMATLC,12945
SHAKE4VWX,16000
SHCROCKPCOAST,270
SILVERFISHSE,2685.688627
SKJCIO,510000
SKJCWPAC,1618800
SKJEATL,156500
SKJWATL,31620
SMDOGATL,
SMOOTHOREOBP,447
SMOOTHOREOCR,2996
SMOOTHOREOEPR,443
SMOOTHOREOSLD,420.72
SMOOTHOREOWECR,2179
SMOOTHSKA4T,120.45
SMSHRMPMEDGSA10,
SMSHRMPMEDGSA17-18,
SMSHRMPMEDGSA9,
SMULLMEDGSA15-16,
SMULLMEDGSA5,
SMULLMEDGSA9,
SNAPSAUSNSG,
SNAPSAUSSGSV,
SNAPSAUSSSG,
SNOSESHARATL,1270
SNOWCRABBS,
SNOWCRABESJ,829.135
SNOWCRABHOKK,
SNOWCRABNPAC,159.068
SNOWCRABOKS,
SNOWCRABSGSL,
SNOWCRABWSJ,5475.84
SNOWGROUPSATLC,189.8737661
SNROCKPCOAST,1268
SOLECS,
SOLEIIIa-2224,
SOLEIS,
SOLENS,
SOLEVIId,
SOLEVIIe,
SOLEVIIh-k,
SOLEVIIIab,
SOLMEDGSA17,
SOUTHHAKECH,
SOUTHHAKECR,4144
SOUTHHAKESA,4341
SOUTHHAKEWCSI,8077
SPANMACKGM,
SPANMACKSATLC,2750
SPANMACKSETO,6926.257021
SPHAKECH,
SPRAT22-32,
SPRATNS,
SPRBLKGSA29,
SPSDOGPCOAST,848
SPURDNEATL,
SRAKEROCKBSAI,
SSANDNSJ,
SSANDWSJ,6694.38
SSARDCH,
SSLOBSTERSASC,
SSTHORNHPCOAST,2034
STFLOUNNPCOAST,818
STFLOUNSPCOAST,396
STMARLINIO,4218
STMARLINNEPAC,2596
STMARLINSWPO,2081
STMARLINWCNPAC,5657
STRIPEDBASSGOMCHATT,
SURFMATLC,98000
SWHITSE,2070.344826
SWORDEPAC,54900
SWORDIO,27100
SWORDMED,14600
SWORDNATL,13700
SWORDNPAC,14920
SWORDSATL,14210
TANNERCRABBSAI,
TARAKNZ,682
TBSKAMEDGSA29,
TIGERFLATSE,2854.058088
TILEGM,
TILEMATLC,1029
TILESATLC,253.9886108
TREVALLYTRE7,1818
TSKA3LNOPs,6653
TURBLKGSA29,
TURIV,
VSNAPGM,1528.606388
VSNAPSATLC,696.7187
WANGLVIIIc-IXa,
WANGLVII-VIIIabd,
WAREHOUESE,966.66474
WAREHOUWSE,866.7822979
WEAKFISHATLC,
WHAKE3NOPs,3500
WHAKE4RS,9016
WHAKE4T,
WHAKEGBGOM,5422
WHITMEDGSA29,
WHITNS-VIId,
WHITVIa,
WHITVIIa,
WHITVIIek,21000
WINDOWGOMGB,700
WINDOWSNEMATL,500
WINFLOUN4T,
WINFLOUN5Z,2840
WINFLOUND5Y,
WINFLOUNSNEMATL,11728
WITFLOUN4RST,1990
WITFLOUN5Y,1957
WLFLOUNNPAC,144.6048296
WMARLINATL,1239
WPOLLAI,
WPOLLEBS,
WPOLLGA,
WPOLLNAVAR,
WPOLLNSO,966700
WPOLLWBS,
WROCKPCOAST,7776
WSHRIMPGM,
WVSCALLALASKA,582.412128
YEGROUPGM,375
YELL3LNO,18730
YELLCCODGOM,1285
YELLGB,9400
YELLSNEMATL,541
YEYEROCKPCOAST,63
YFINATL,144600
YFINCWPAC,586400
YFINEIO,422000
YFINEPAC,274960
YNOSESKACSCH,
YNOSESKASCH,
YSOLEBSAI,
YTROCKNPCOAST,4805
YTSNAPSATLCGM,1700
