stockid,areaid,stocklong,countries,region,cost_value,MSYbest,lnMSY,final_value,IUCNstatus
ACADRED2J3K,Canada-DFO-2J3K,Acadian redfish NAFO-2J3K,Canada,Canada,0.85047205,3000,14.91412285,12.68404463,NS
ACADRED3LNO-UT12,Canada-DFO-3LNO-UT12,Acadian redfish Units 1-2 and NAFO-3LNO,Canada,Canada,0.85047205,116000,18.56910075,15.79250118,NS
ACADREDGOMGB,USA-NMFS-5YZ,Acadian redfish Gulf of Maine / Georges Bank,USA,USA,0.895502963,10466,16.16364247,14.47458973,NS
ACADREDUT3,Canada-DFO-UT3,Acadian redfish Unit 3,Canada,Canada,0.85047205,131000,18.69070788,15.89592464,NS
ACMACKSARG,Argentina-CFP-ARG-S,Argentine chub mackerel Southern Argentina,Argentina,Argentina,1.349326297,NA,NA,NA,NS
ALBAIO,multinational-IOTC-IO,Albacore tuna Indian Ocean,multinational,Indian Ocean,2.05607134,38800,17.4739308,35.92764833,NT
ALBAMED,multinational-ICCAT-MED,Albacore tuna Mediterranean,multinational,Mediterranean-Black Sea,1.527982791,28900,17.17935215,26.24975446,NT
ALBANATL,multinational-ICCAT-NATL,Albacore tuna North Atlantic,multinational,North Atlantic,1.684328499,36650,17.41692399,29.33582144,NT
ALBANPAC,multinational-ISC-NPAC,Albacore tuna North Pacific,multinational,North Pacific,1.272890706,105571,18.47489427,23.5165212,NT
ALBASATL,multinational-ICCAT-SATL,Albacore tuna South Atlantic,multinational,South Atlantic,1.792744301,25147.5,17.04026905,30.54884521,NT
ALBASPAC,multinational-WCPFC-SPAC,Albacore tuna South Pacific Ocean,multinational,South Pacific,1.011341647,76800,18.1567152,18.36264226,NT
ALPLAICBSAI,USA-NMFS-BSAI,Alaska plaice Bering Sea and Aleutian Islands,USA,USA,0.895502963,NA,NA,NA,NS
ALSKABSAI,USA-NMFS-BSAI,Alaska skate Bering Sea and Aleutian Islands,USA,USA,0.895502963,NA,NA,NA,NS
AMPL3LNO,multinational-NAFO-3LNO,American Plaice NAFO-3LNO,multinational,Canada East Coast,1.478433277,NA,NA,NA,NS
AMPL3M,multinational-NAFO-3M,American Plaice NAFO-3M,multinational,Canada East Coast,1.478433277,NA,NA,NA,NS
AMPL4T,Canada-DFO-4T,American plaice Southern Gulf of St. Lawrence,Canada,Canada,0.85047205,NA,NA,NA,NS
AMPL4VWX,Canada-DFO-4VWX,American plaice Scotian Shelf and Bay of Fundy,Canada,Canada,0.85047205,5113,15.44729687,13.13749424,NS
AMPL5YZ,USA-NMFS-5YZ,American Plaice NAFO-5YZ,USA,USA,0.895502963,2675,14.79945994,13.25296023,NS
ANCHIXa,multinational-ICES-IXa,Anchovy Portugese Waters -East,multinational,European Union,2.038476184,NA,NA,NA,LC
ANCHMEDGSA1,multinational-GFCM-GSA1,Anchovy Northern Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,LC
ANCHMEDGSA16,multinational-GFCM-GSA16,Anchovy South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,2359,14.67374836,22.42123498,LC
ANCHMEDGSA17-18,multinational-GFCM-GSA17-18,Anchovy Adriatic Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,LC
ANCHMEDGSA29,multinational-GFCM-GSA29,Anchovy Black Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,LC
ANCHMEDGSA6,multinational-GFCM-GSA6,Anchovy Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,LC
ANCHMEDGSA9,multinational-GFCM-GSA9,Anchovy Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,LC
ANCHOBAYB,multinational-ICES-VIII,Anchovy ICES VIII,multinational,European Union,2.038476184,NA,NA,NA,LC
ANCHOSA,South Africa-DETMCM-SA,Anchovy South Africa,South Africa,South Africa,1.91096113,NA,NA,NA,LC
ANCHOVYKILKACS,Iran-Iran-CS,Anchovy kilka Caspian Sea,Iran,Iran,0.699754489,44652,17.61440966,12.32576223,NS
ANGLMEDGSA15-16,multinational-GFCM-GSA15-16,Black Bellied Angler Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
ANGLMEDGSA5,multinational-GFCM-GSA5,Black bellied angler Balearic Island,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
ANGLMEDGSA6,multinational-GFCM-GSA6,Black bellied angler Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
ANGLMEDGSA7,multinational-GFCM-GSA7,Black bellied angler Gulf of Lions,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
APOLLNEMS,Japan-FAJ-NEMS,Walleye pollock Nemuro Strait,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
APOLLNSJ,Japan-FAJ-NSJ,Walleye pollock Sea of Japan North,Japan,Russia Japan,1.025237182,45206.50965,17.62675165,18.07160119,NS
APOLLOKS,Japan-FAJ-OKS,Walleye pollock Okhotsk Sea,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
APOLLPJPN,Japan-FAJ-PJPN,Walleye pollock Pacific Coast of Japan,Japan,Russia Japan,1.025237182,176347.6986,18.98796816,19.46717097,NS
ARCSURFGB,Canada-DFO-3LNO,Arctic surfclam Grand Bank,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
ARFLOUNDBSAI,USA-NMFS-BSAI,Arrowtooth flounder Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
ARFLOUNDGA,USA-NMFS-GA,Arrowtooth flounder Gulf of Alaska,USA,US Alaska,0.895502963,254271,19.35391119,17.33148482,NS
ARFLOUNDPCOAST,USA-NMFS-PCOAST,Arrowtooth flounder Pacific Coast,USA,US West Coast,0.895502963,5844,15.58092605,13.95276545,NS
ARGANCHONARG,Argentina-CFP-ARG-N,Argentine anchoita Northern Argentina,Argentina,South America,1.349326297,222163,19.2189219,25.93259673,NT
ARGANCHOSARG,Argentina-CFP-ARG-S,Argentine anchoita Southern Argentina,Argentina,South America,1.349326297,454000,19.93360776,26.89694114,NT
ARGHAKENARG,Argentina-CFP-ARG-N,Argentine hake Northern Argentina,Argentina,South America,1.349326297,NA,NA,NA,NS
ARGHAKESARG,Argentina-CFP-ARG-S,Argentine hake Southern Argentina,Argentina,South America,1.349326297,NA,NA,NA,NS
ATBTUNAEATL,multinational-ICCAT-EATL,Bluefin tuna Eastern Atlantic,multinational,E Atlantic Ocean,2.183111075,40252.1,17.51067273,38.22774357,NS
ATBTUNAWATL,multinational-ICCAT-WATL,Bluefin tuna Western Atlantic,multinational,W Atlantic Ocean,1.162066017,5233.41,15.47057363,17.97782788,NS
ATHAL3NOPs4VWX5Zc,Canada-DFO-3NOPs4VWX5Zc,Atlantic halibut Scotian Shelf and Southern Grand Banks,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
ATHAL5YZ,USA-NMFS-5YZ,Atlantic Halibut NAFO-5YZ,USA,US East Coast,0.895502963,3500,15.06827353,13.4936836,NS
ATKABSAI,USA-NMFS-BSAI,Atka mackerel Bering Sea and Aleutian Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
ATLCROAKMATLC,USA-NMFS-MATLC,Atlantic croaker Mid-Atlantic Coast,USA,US East Coast,0.895502963,NA,NA,NA,NS
ATOOTHFISHRS,multinational-CCAMLR-RS,Antarctic toothfish Ross Sea,multinational,Antarctic,1.457668222,3105.3982,14.94865251,21.79017573,NS
AUROCKPCOAST,USA-NMFS-PCOAST,Aurora rockfish Pacific Coast,USA,US West Coast,0.895502963,72,11.1844214,10.01568251,NS
AUSSALMONNZ,New Zealand-MFish-NZ,Australian salmon New Zealand,New Zealand,New Zealand,1.048024352,3371.82,15.03096322,15.75281548,NS
AWOLF5YZ,USA-NMFS-5YZ,Atlantic wolffish Gulf of Maine / Georges Bank,USA,US East Coast,0.895502963,244,12.4049235,11.10864576,NS
BCRABCHESB,USA-MDSTATE-CHESB,Blue Crab Chesapeake Bay,USA,US East Coast,0.895502963,NA,NA,NA,NS
BGRDRNSWWA,Australia-AFMA-NSWWA,Blue grenadier New South Wales to Western Australia,Australia,Australia,1.193009991,4491.953438,15.31779823,18.27428632,NS
BGROCKPCOAST,USA-NMFS-PCOAST,Blackgill rockfish  Pacific Coast,USA,US West Coast,0.895502963,222,12.31043266,11.02402893,NS
BHEADSHARATL,USA-NMFS-ATL,Bonnethead shark Atlantic,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
BIGEYEATL,multinational-ICCAT-ATL,Bigeye tuna Atlantic,multinational,Atlantic Ocean,1.749116527,92000,18.33729914,32.07407298,VU
BIGEYECWPAC,multinational-WCPFC-CWPAC,Bigeye tuna Central Western Pacific,multinational,CW Pacific Ocean,1.007149874,108520,18.50244505,18.63473519,VU
BIGEYEEPAC,multinational-IATTC-EPAC,Bigeye tuna Eastern Pacific,multinational,E Pacific Ocean,1.105578368,106201,18.48084408,20.43202143,VU
BIGEYEIO,multinational-IOTC-IO,Bigeye tuna Indian Ocean,multinational,Indian Ocean,2.05607134,104000,18.45990146,37.95487433,NS
BIGHTREDSE,Australia-AFMA-SE,Bight redfish Southeast Australia,Australia,Australia,1.193009991,624.7468834,13.34510186,15.92083985,NS
BIGSKA5CDE,Canada-DFO-HS,Big skate Hecate Strait,Canada,Canada West Coast,0.85047205,351,12.7685415,10.85928766,NS
BKCDLFENI,New Zealand-MFish-ENI,Black cardinalfish East coast of North Island,New Zealand,New Zealand,1.048024352,666,13.40904495,14.05300564,LC
BKINGCRABPI,USA-NMFS-PI,Blue king crab Pribilof Islands,USA,US Alaska,0.895502963,NA,NA,NA,NS
BKINGCRABSMI,USA-NMFS-SMI,Blue king crab Saint Matthews Island,USA,US Alaska,0.895502963,NA,NA,NA,NS
BLACKGROUPERGMSATL,USA-NMFS-GMSATL,Black Grouper Gulf of Mexico and South Atlantic,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
BLACKOREOPR,New Zealand-MFish-PR,Black Oreo Pukaki Rise,New Zealand,New Zealand,1.048024352,670,13.41503299,14.05928126,NS
BLACKOREOWECR,New Zealand-MFish-WECR,Black oreo West end of Chatham Rise,New Zealand,New Zealand,1.048024352,1947,14.48180028,15.17727936,NS
BLACKROCKCAL,USA-NMFS-CAL,Black rockfish California,USA,US West Coast,0.895502963,343,12.74548573,11.41362024,NS
BLACKROCKORECOAST,USA-NMFS-ORECOAST,Black rockfish Oregon,USA,US West Coast,0.895502963,518,13.15773052,11.78278667,NS
BLACKROCKWASH,USA-NMFS-WASH,Black rockfish Washington,USA,US West Coast,0.895502963,NA,NA,NA,NS
BLINGVb-VI-VII,multinational-ICES-Vb-VI-VII,Blue ling Vb-VI-VII,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
BLKMARLINIO,multinational-IOTC-IO,Black marlin Indian Ocean,multinational,Indian Ocean,2.05607134,8605,15.96785399,32.83104695,DD
BLSHARNPAC,multinational-ISC-NPAC,Blue shark North Pacific,multinational,N Pacific Ocean,1.272890706,72123,18.09388355,23.0315362,NT
BLTILESATLC,USA-NMFS-SATLC,Blueline tilefish Southern Atlantic coast,USA,US Southeast and Gulf,0.895502963,102.7512886,11.54006667,10.3341639,NS
BLUEFISHATLC,USA-NMFS-ATLC,Bluefish Atlantic Coast,USA,US East Coast,0.895502963,13967,16.45220796,14.73300099,VU
BLUEROCKCAL,USA-NMFS-CAL,Blue rockfish California,USA,US West Coast,0.895502963,275,12.52452638,11.21575049,NS
BMACKECS,Japan-FAJ-ECS,Spotted mackerel East China Sea,Japan,Russia Japan,1.025237182,54757.32305,17.81842167,18.26810842,LC
BMACKPJPN,Japan-FAJ-PJPN,Spotted mackerel Pacific Coast of Japan,Japan,Russia Japan,1.025237182,145655.7838,18.79675675,19.27113392,LC
BMARLINATL,multinational-ICCAT-ATL,Blue marlin Atlantic,multinational,Atlantic Ocean,1.749116527,2000,14.50865774,25.37733303,VU
BMARLINIO,multinational-IOTC-IO,Indo-Pacific blue marlin Indian Ocean,multinational,Indian Ocean,2.05607134,9524,16.06932549,33.03967959,DD
BMARLINPAC,multinational-ISC-PAC,Blue marlin Pacific Ocean,multinational,Pacific Ocean,1.250825983,19459,16.78382025,20.99363846,VU
BNOSESHARATL,USA-NMFS-ATL,Blacknose shark Atlantic,USA,US Southeast and Gulf,0.895502963,89.415,11.40104373,10.20966845,NS
BNSNZ,New Zealand-MFish-NZ,Bluenose New Zealand,New Zealand,New Zealand,1.048024352,1209,14.00530413,14.67789979,NS
BOCACCBCW,Canada-DFO-BCW,Bocaccio British Columbia Waters,Canada,Canada West Coast,0.85047205,NA,NA,NA,NS
BOCACCSPCOAST,USA-NMFS-SPCOAST,Bocaccio Southern Pacific Coast,USA,US West Coast,0.895502963,1347,14.11339046,12.63858298,NS
BRMSOJ,Japan-FAJ-SOJ,Yellow sea bream Sea of Japan,Japan,Russia Japan,1.025237182,NA,NA,NA,NS
BRNROCKPCOAST,USA-NMFS-PCOAST,Brown rockfish Pacific Coast,USA,US West Coast,0.895502963,149.9,11.91772368,10.67235688,NS
BRNSHRIMPGM,USA-NMFS-GM,Brown shrimp Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
BSBASSMATLC,USA-NMFS-MATLC,Black sea bass Mid-Atlantic Coast,USA,US East Coast,0.895502963,3284,15.00457275,13.43663936,LC
BSBASSSATL,USA-NMFS-SATL,Black sea bass South Atlantic,USA,US Southeast and Gulf,0.895502963,807.394472,13.60156764,12.18024413,LC
BSQLOBSTERCSCH,Chile-SUBPESCA-CH-CS,Yellow squat lobster Central-Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
BSQLOBSTERNCH,Chile-SUBPESCA-CH-N,Yellow squat lobster Northern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
BTIPSHARATL,USA-NMFS-ATL,Blacktip shark Atlantic,USA,US Southeast and Gulf,0.895502963,14900,16.51687177,14.79090762,NS
BTIPSHARGM,USA-NMFS-GM,Blacktip shark Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,NA,NA,NA,NS
BUTTERGOMCHATT,USA-NMFS-5YCHATT,Atlantic butterfish Gulf of Maine / Cape Hatteras,USA,US East Coast,0.895502963,NA,NA,NA,NS
BWHITMEDGSA1,multinational-GFCM-GSA1,Blue whiting Northern Alboran Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
BWHITMEDGSA6,multinational-GFCM-GSA6,Blue whiting Northern Spain,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
BWHITMEDGSA9,multinational-GFCM-GSA9,Blue whiting Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
BWHITNEA,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Blue Whiting Northeast Atlantic,multinational,European Union,2.038476184,NA,NA,NA,NS
CABEZNCAL,USA-NMFS-NCAL,Cabezon Northern California,USA,US West Coast,0.895502963,129,11.76756768,10.53789173,NS
CABEZORECOAST,USA-NMFS-ORECOAST,Cabezon Oregon Coast,USA,US West Coast,0.895502963,48,10.77895629,9.6525873,NS
CABEZSCAL,USA-NMFS-SCAL,Cabezon Southern California,USA,US West Coast,0.895502963,30,10.30895266,9.231697658,NS
CALSCORPSCAL,USA-NMFS-SCAL,California scorpionfish Southern California,USA,US West Coast,0.895502963,127,11.75194237,10.52389921,LC
CAPEIIa-V-XIV,multinational-ICES-IIa-V-XIV,Capelin IIa-V-XIV,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CAPENOR,multinational-ICES-I,Capelin Barents Sea,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CHAKESA,South Africa-DETMCM-SA,Shallow-water cape hake South Africa,South Africa,South Africa,1.91096113,62800,17.95546563,34.31219689,NS
CHILISPCOAST,USA-NMFS-SPCOAST,Chilipepper Southern Pacific Coast,USA,US West Coast,0.895502963,2133,14.57304,13.0502005,NS
CHMACKWA,multinational-FAO-WA,Cunene Horse Mackerel West Africa,multinational,West Africa,2.595856662,NA,NA,NA,NS
CHROCKCPCOAST,USA-NMFS-CPCOAST,China rockfish Central Pacific Coast,USA,US West Coast,0.895502963,15.7,9.661415991,8.651826651,NS
CHROCKNPCOAST,USA-NMFS-NPCOAST,China rockfish Northern Pacific Coast,USA,US West Coast,0.895502963,NA,NA,NA,NS
CHROCKSPCOAST,USA-NMFS-SPCOAST,China rockfish Southern Pacific Coast,USA,US West Coast,0.895502963,21.1,9.957028319,8.916548367,NS
CHSQUIDSA,South Africa-DETMCM-SA,Cape Hope squid South Africa,South Africa,South Africa,1.91096113,NA,NA,NA,NS
CHTRACCH,multinational-SPRFMO-CH,Chilean jack mackerel Chilean EEZ and offshore,multinational,South America,1.125724334,NA,NA,NA,NS
CMACKPCOAST,USA-NMFS-PCOAST,Pacific chub mackerel Pacific Coast,USA,US West Coast,0.895502963,23048.2,16.95309823,15.18154971,LC
CMACKPJPN,Japan-FAJ-PJPN,Chub mackerel Pacific Coast of Japan,Japan,Russia Japan,1.025237182,355290.851,19.68844731,20.18532823,LC
CMACKTSST,Japan-FAJ-TSST,Chub mackerel Tsushima Strait,Japan,Russia Japan,1.025237182,325542.1507,19.60100251,20.09567657,LC
CMACKWA,multinational-FAO-WA,Chub Mackerel West Africa,multinational,West Africa,2.595856662,NA,NA,NA,LC
COBGM,USA-NMFS-GM,Cobia Gulf of Mexico,USA,US Southeast and Gulf,0.895502963,1208,14.00447666,12.54105035,NS
COBSATLC,USA-NMFS-SATLC,Cobia Southern Atlantic coast,USA,US Southeast and Gulf,0.895502963,366.502336,12.81176017,11.4729692,NS
COD1IN,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),multinational,Europe non EU,1.440764411,NA,NA,NA,NS
COD2J3KL,Canada-DFO-2J3KL,Atlantic cod NAFO 2J3KL,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
COD4TVn,Canada-DFO-4T,Atlantic cod NAFO 4TVn,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
COD4X5Yb,Canada-DFO-4X5Yb,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
COD5Zjm,Canada-DFO-5Zjm,Atlantic cod NAFO 5Zjm,Canada,Canada East Coast,0.85047205,NA,NA,NA,NS
CODBA2224,multinational-ICES-22-24,Atlantic cod Baltic Areas 22 and 24,multinational,European Union,2.038476184,23000,16.95100477,34.55421953,NS
CODBA2532,multinational-ICES-25-32,Atlantic cod Baltic Areas 25-32,multinational,European Union,2.038476184,NA,NA,NA,NS
CODFAPL,multinational-ICES-Vb1,Atlantic cod Faroe Plateau,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CODGB,USA-NMFS-5Z,Atlantic cod Georges Bank,USA,US East Coast,0.895502963,28774,17.17498276,15.38024796,NS
CODGOM,USA-NMFS-5Y,Atlantic cod Gulf of Maine,USA,US East Coast,0.895502963,10043,16.12238643,14.43764483,NS
CODICE,multinational-ICES-Va,Atlantic cod Iceland,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CODIf-XIV,multinational-ICES-If-XIV,Atlantic cod ICES If-XIV,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CODIIIaW-IV-VIId,multinational-ICES-IIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId,multinational,European Union,2.038476184,NA,NA,NA,NS
CODIS,multinational-ICES-VIIa,Atlantic cod Irish Sea,multinational,European Union,2.038476184,NA,NA,NA,NS
CODKAT,multinational-ICES-IIIa,Atlantic cod Kattegat,multinational,European Union,2.038476184,NA,NA,NA,NS
CODNEAR,multinational-ICES-I-II,Atlantic cod Northeast Arctic,multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CODNEARNCW,multinational-ICES-I-II-NCW,Atlantic cod Northeast Arctic (Norwegian coastal waters),multinational,Europe non EU,1.440764411,NA,NA,NA,NS
CODVIa,multinational-ICES-VIa,Atlantic cod West of Scotland,multinational,European Union,2.038476184,NA,NA,NA,NS
CODVIIek,multinational-ICES-VIIe-k,Atlantic Cod Celtic Sea,multinational,European Union,2.038476184,10300,16.14765445,32.91660903,NS
COWCODSCAL,USA-NMFS-SCAL,Cowcod Southern California,USA,US West Coast,0.895502963,69,11.14186178,9.977570245,NS
CPANDMEDGSA15-16,multinational-GFCM-GSA15-16,Common pandora Malta Island and South of Sicily,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
CPANDMEDGSA9,multinational-GFCM-GSA9,Common pandora Ligurian and North Tyrrhenian Sea,multinational,Mediterranean-Black Sea,1.527982791,NA,NA,NA,NS
CPRROCKPCOAST,USA-NMFS-PCOAST,Copper rockfish Pacific Coast,USA,US West Coast,0.895502963,196.97,12.19080671,10.91690354,NS
CRLOBSTERSA12,South Africa-DETMCM-1-2,West coast rock lobster South Africa Areas 1-2,South Africa,South Africa,1.91096113,NA,NA,NA,NS
CRLOBSTERSA34,South Africa-DETMCM-3-4,West coast rock lobster South Africa Areas 3-4,South Africa,South Africa,1.91096113,NA,NA,NA,NS
CRLOBSTERSA56,South Africa-DETMCM-5-6,West coast rock lobster South Africa Areas 5-6,South Africa,South Africa,1.91096113,NA,NA,NA,NS
CRLOBSTERSA7,South Africa-DETMCM-7,West coast rock lobster South Africa Area 7,South Africa,South Africa,1.91096113,NA,NA,NA,NS
CRLOBSTERSA8,South Africa-DETMCM-8,West coast rock lobster South Africa Area 8,South Africa,South Africa,1.91096113,NA,NA,NA,NS
CROCKPCOAST,USA-NMFS-PCOAST,Canary rockfish Pacific Coast,USA,US West Coast,0.895502963,1226,14.0192674,12.5542955,NS
CROCKWCVANISOGQCI,Canada-DFO-WCVANI-SOG-QCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada,Canada West Coast,0.85047205,713.7922747,13.47834727,11.46295763,NS
CSARDCSCH,Chile-SUBPESCA-CH-CS,Chilean sardine Central-Southern Chile,Chile,South America,1.787019342,NA,NA,NA,NS
CTRACSA,South Africa-DETMCM-SASC,Cape horse mackerel South Africa South coast,South Africa,South Africa,1.91096113,72924.09,18.1049296,34.59781672,LC
CUSK4X,Canada-DFO-4X,Cusk NAFO 4X,Canada,Canada East Coast,0.85047205,1482.925,14.20952705,12.08480559,NS
CUSKVa-XIV,multinational-ICES-Va-XIV,Tusk Va and XIV,multinational,European Union,2.038476184,NA,NA,NA,NS
DEEPCHAKESA,South Africa-DETMCM-SA,Deep-water cape hake South Africa,South Africa,South Africa,1.91096113,118900,18.59379336,35.53201637,NS
