"","stockid","MSYbest","areaid","stocklong","region"
"418","RKCRABNS",NA,"USA-NMFS-NS","Red king crab Norton Sound","US Alaska"
"419","RKCRABPI",NA,"USA-NMFS-PI","Red king crab Pribilof Islands","US Alaska"
"420","RMULLMEDGSA1",NA,"multinational-GFCM-GSA1","Red mullet Northern Alboran Sea","Mediterranean-Black Sea"
"421","RMULLMEDGSA10",NA,"multinational-GFCM-GSA10","Red mullet South Tyrrhenian Sea","Mediterranean-Black Sea"
"422","RMULLMEDGSA11",NA,"multinational-GFCM-GSA11","Red mullet Sardinia","Mediterranean-Black Sea"
"423","RMULLMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Red mullet Malta Island and South of Sicily","Mediterranean-Black Sea"
"424","RMULLMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","Red mullet Adriatic Sea","Mediterranean-Black Sea"
"425","RMULLMEDGSA19",NA,"multinational-GFCM-GSA19","Red mullet Western Ionian Sea","Mediterranean-Black Sea"
"426","RMULLMEDGSA25",NA,"multinational-GFCM-GSA25","Red mullet Cyprus Island","Mediterranean-Black Sea"
"427","RMULLMEDGSA29",NA,"multinational-GFCM-GSA29","Red mullet Black Sea","Mediterranean-Black Sea"
"428","RMULLMEDGSA5",NA,"multinational-GFCM-GSA5","Red mullet Balearic Island","Mediterranean-Black Sea"
"429","RMULLMEDGSA6",NA,"multinational-GFCM-GSA6","Red mullet Northern Spain","Mediterranean-Black Sea"
"430","RMULLMEDGSA7",NA,"multinational-GFCM-GSA7","Red mullet Gulf of Lions","Mediterranean-Black Sea"
"431","RMULLMEDGSA9",NA,"multinational-GFCM-GSA9","Red mullet Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"432","RPORGYSATLC",378.2960366,"USA-NMFS-SATLC","Red porgy Southern Atlantic coast","US Southeast and Gulf"
"433","RROCKLOBSTERCRA1",161.109,"New Zealand-MFish-CRA1","Red rock lobster New Zealand area CRA1","New Zealand"
"434","RROCKLOBSTERCRA2",265.7825,"New Zealand-MFish-CRA2","Red rock lobster New Zealand area CRA2","New Zealand"
"435","RROCKLOBSTERCRA3",212.492,"New Zealand-MFish-CRA3","Red rock lobster New Zealand area CRA3","New Zealand"
"436","RROCKLOBSTERCRA4",679.969,"New Zealand-MFish-CRA4","Red rock lobster New Zealand area CRA4","New Zealand"
"437","RROCKLOBSTERCRA5",560.0995,"New Zealand-MFish-CRA5","Red rock lobster New Zealand area CRA5","New Zealand"
"438","RROCKLOBSTERCRA7",193.628,"New Zealand-MFish-CRA7","Red rock lobster New Zealand area CRA7","New Zealand"
"439","RROCKLOBSTERCRA8",1082.505,"New Zealand-MFish-CRA8","Red rock lobster New Zealand area CRA8","New Zealand"
"440","RROCKLOBSTERSAUSNZ",NA,"Australia-SARDI-SAUSNZ","Rock Lobster South Australia Northern Zone","Australia"
"441","RROCKLOBSTERSAUSSZ",NA,"Australia-SARDI-SAUSSZ","Rock Lobster South Australia Southern Zone","Australia"
"442","RSARDINWA",NA,"multinational-FAO-WA","Round Sardinella West Africa","West Africa"
"443","RSFLOUNSOJ",1568.679061,"Japan-FAJ-SOJ","Round-nose flounder Sea of Japan","Russia Japan"
"444","RSHRMPMEDGSA1",NA,"multinational-GFCM-GSA1","Deep-water rose shrimp Northern Alboran Sea","Mediterranean-Black Sea"
"445","RSHRMPMEDGSA12-16",NA,"multinational-GFCM-GSA12-16","Deep-water Rose Shrimp GSA 12-16","Mediterranean-Black Sea"
"446","RSHRMPMEDGSA17-19",NA,"multinational-GFCM-GSA17-19","Deep-water rose shrimp Geographical Sub-Areas 17-19","Mediterranean-Black Sea"
"447","RSHRMPMEDGSA5",NA,"multinational-GFCM-GSA5","Deep-water rose shrimp Balearic Island","Mediterranean-Black Sea"
"448","RSNAPGM",5855.877884,"USA-NMFS-GM","Red snapper Gulf of Mexico","US Southeast and Gulf"
"449","RSNAPSATLC",195.044732,"USA-NMFS-SATLC","Red snapper Southern Atlantic coast","US Southeast and Gulf"
"450","RSOLE5AB",524,"Canada-DFO-5AB","Rock sole Queen Charlotte Sound","Canada West Coast"
"451","RSOLEGA",NA,"USA-NMFS-GA","Rock sole Gulf of Alaska","US Alaska"
"452","RSOLEHSTR",1895,"Canada-DFO-HS","Rock sole Hecate Strait","Canada West Coast"
"453","RSQLOBSTERCSCH",NA,"Chile-SUBPESCA-CH-CS","Red squat lobster Central-Southern Chile","South America"
"454","RSQLOBSTERNCH",NA,"Chile-SUBPESCA-CH-N","Red squat lobster Northern Chile","South America"
"455","SAABALONESA",NA,"South Africa-DETMCM-SA","Abalone South Africa","South Africa"
"456","SABLEFEBSAIGA",18950,"USA-NMFS-EBSAIGA","Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","US Alaska"
"457","SABLEFPCAN",3230,"Canada-DFO-PCOAST","Sablefish Pacific Coast of Canada","Canada West Coast"
"458","SABLEFPCOAST",7476,"USA-NMFS-PCOAST","Sablefish Pacific Coast","US West Coast"
"459","SAILEATL",851,"multinational-ICCAT-EATL","Sailfish Eastern Atlantic","Atlantic Ocean"
"460","SAILWATL",850,"multinational-ICCAT-WATL","Sailfish Western Atlantic","Atlantic Ocean"
"461","SARDINWA",NA,"multinational-FAO-WA","Sardinella West Africa","West Africa"
"462","SARDMEDGSA16",5307,"multinational-GFCM-GSA16","Sardine South of Sicily","Mediterranean-Black Sea"
"463","SARDMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","European pilchard Adriatic Sea","Mediterranean-Black Sea"
"464","SARDMEDGSA6",NA,"multinational-GFCM-GSA6","European pilchard Northern Spain","Mediterranean-Black Sea"
"465","SARDPCOAST",NA,"USA-NMFS-PCOAST","Pacific sardine Pacific Coast","US West Coast"
"466","SARDPVIIIc-IXa",NA,"multinational-ICES-VIIIc-IXa","European pilchard ICES VIIIc-IXa","European Union"
"467","SARDSA",NA,"South Africa-DETMCM-SA","Sardine South Africa","South Africa"
"468","SARDVIIIabd",NA,"multinational-ICES-VIIIabd","Sardine ICES VIIIabd","European Union"
"469","SARDWAZC",NA,"multinational-FAO-Z-C","Sardine West Africa Zone C","West Africa"
"470","SAURNWPAC",474259.1,"Japan-FAJ-NWPAC","Pacific saury Northwest Pacific","Russia Japan"
"471","SBARSHARATL",403,"USA-NMFS-ATL","Sandbar shark Atlantic","US Southeast and Gulf"
"472","SBELLYROCKPCOAST",NA,"USA-NMFS-PCOAST","Shortbelly rockfish Pacific Coast","US West Coast"
"473","SBT",33000,"multinational-CCSBT-SO","Southern bluefin tuna Southern Oceans","Indian Ocean"
"474","SBWHITACIR",NA,"New Zealand-MFish-CIR","Southern blue whiting Campbell Island Rise","New Zealand"
"475","SBWHITARGS",NA,"Argentina-CFP-ARG-S","Southern blue whiting Southern Argentina","South America"
"476","SBWHITCH",NA,"Chile-SUBPESCA-CH-CS","Southern blue whiting Chile","South America"
"477","SCALL5ZMAB",23798,"USA-NMFS-5ZMAB","Sea scallop Georges Bank and Mid-Atlantic Bight","US East Coast"
"478","SCALLGB",NA,"Canada-DFO-5Z","Sea scallop Georges Bank","Canada East Coast"
"479","SCHHEADATL",NA,"USA-NMFS-ATL","Scalloped hammerhead Atlantic","US East Coast"
"480","SCMPBP",342.4918,"New Zealand-MFish-BOP","Scampi Bay of Plenty","New Zealand"
"481","SCMPMB",NA,"New Zealand-MFish-MB","Scampi Mernoo Bank","New Zealand"
"482","SCMPWHB",194,"New Zealand-MFish-WHB","Scampi Wairapa/Hawke Bay","New Zealand"
"483","SCUPNWATLC",11752,"USA-NMFS-NWATLC","Scup Atlantic Coast","US East Coast"
"484","SDOG4VWX5",741.67,"Canada-DFO-4VWX5","Spiny dogfish Scotian Shelf, Bay of Fundy and Georges Bank","Canada East Coast"
"485","SDOGATLC",NA,"USA-NMFS-ATLC","Spiny dogfish Atlantic Coast","US East Coast"
"486","SDOGBLKGSA29",NA,"multinational-GFCM-GSA29","Spiny Dogfish Black Sea","Mediterranean-Black Sea"
"487","SEELNSSA1",NA,"multinational-ICES-SA1","Sand eel SA 1","European Union"
"488","SEELNSSA2",NA,"multinational-ICES-SA2","Sand eel SA 2","European Union"
"489","SEELNSSA3",NA,"multinational-ICES-SA3","Sand eel SA 3","European Union"
"490","SEELNSSA4",NA,"multinational-ICES-SA4","Sand eel Sandeel Area 4","European Union"
"491","SFLOUNMATLC",12945,"USA-NMFS-MATLC","Summer flounder Mid-Atlantic Coast","US East Coast"
"492","SHAKE4VWX",16000,"Canada-DFO-4VWX","Silver hake Scotian Shelf and Bay of Fundy","Canada East Coast"
"493","SHCROCKPCOAST",270,"USA-NMFS-PCOAST","Sharpchin rockfish Pacific Coast","US West Coast"
"494","SILVERFISHSE",2685.688627,"Australia-AFMA-SE","Silverfish Southeast Australia","Australia"
"495","SKJCIO",510000,"multinational-IOTC-IO","Skipjack tuna Indian Ocean","Indian Ocean"
"496","SKJCWPAC",1618800,"multinational-WCPFC-CWPAC","Skipjack tuna Central Western Pacific","Pacific Ocean"
"497","SKJEATL",156500,"multinational-ICCAT-EATL","Skipjack tuna Eastern Atlantic","Atlantic Ocean"
"498","SKJWATL",31620,"multinational-ICCAT-WATL","Skipjack tuna Western Atlantic","Atlantic Ocean"
"499","SMDOGATL",NA,"USA-NMFS-ATL","Smooth dogfish Atlantic","US East Coast"
"500","SMOOTHOREOBP",447,"New Zealand-MFish-BP","Smooth Oreo Bounty Plateau","New Zealand"
"501","SMOOTHOREOCR",2996,"New Zealand-MFish-CR","Smooth oreo Chatham Rise","New Zealand"
"502","SMOOTHOREOEPR",443,"New Zealand-MFish-EPR","Smooth Oreo East Pukaki Rise","New Zealand"
"503","SMOOTHOREOSLD",420.72,"New Zealand-MFish-SLD","Smooth Oreo Southland","New Zealand"
"504","SMOOTHOREOWECR",2179,"New Zealand-MFish-WECR","Smooth oreo West end of Chatham Rise","New Zealand"
"505","SMOOTHSKA4T",120.45,"Canada-DFO-4T","Smooth skate Southern Gulf of St. Lawrence","Canada East Coast"
"506","SMSHRMPMEDGSA10",NA,"multinational-GFCM-GSA10","Spottail mantis shrimp South Tyrrhenian Sea","Mediterranean-Black Sea"
"507","SMSHRMPMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","Spottail mantis shrimp Adriatic Sea","Mediterranean-Black Sea"
"508","SMSHRMPMEDGSA9",NA,"multinational-GFCM-GSA9","Spottail mantis shrimp Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"509","SMULLMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Surmullet Malta Island and South of Sicily","Mediterranean-Black Sea"
"510","SMULLMEDGSA5",NA,"multinational-GFCM-GSA5","Surmullet Balearic Island","Mediterranean-Black Sea"
"511","SMULLMEDGSA9",NA,"multinational-GFCM-GSA9","Surmullet Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"512","SNAPSAUSNSG",NA,"Australia-SARDI-SAUSNSG","Snapper Northern Spencer Gulf","Australia"
"513","SNAPSAUSSGSV",NA,"Australia-SARDI-SAUSSGSV","Snapper Southern Gulf St. Vincent","Australia"
"514","SNAPSAUSSSG",NA,"Australia-SARDI-SAUSSSG","Snapper Southern Spencer Gulf","Australia"
"515","SNOSESHARATL",1270,"USA-NMFS-ATL","Atlantic sharpnose shark Atlantic","US Southeast and Gulf"
"516","SNOWCRABBS",NA,"USA-NMFS-BS","Snow crab Bering Sea","US Alaska"
"517","SNOWCRABESJ",829.135,"Japan-FAJ-ESJ","Snow crab Sea of Japan East","Russia Japan"
"518","SNOWCRABHOKK",NA,"Japan-FAJ-HOKK","Snow crab Hokkaido","Russia Japan"
"519","SNOWCRABNPAC",159.068,"Japan-FAJ-NPAC","Snow crab North Pacific","Russia Japan"
"520","SNOWCRABOKS",NA,"Japan-FAJ-OKS","Snow crab Okhotsk Sea","Russia Japan"
"521","SNOWCRABSGSL",NA,"Canada-DFO-4T","Snow crab Southern Gulf of St. Lawrence","Canada East Coast"
"522","SNOWCRABWSJ",5475.84,"Japan-FAJ-WSJ","Snow crab Sea of Japan West","Russia Japan"
"523","SNOWGROUPSATLC",189.8737661,"USA-NMFS-SATLC","Snowy grouper Southern Atlantic coast","US Southeast and Gulf"
"524","SNROCKPCOAST",1268,"USA-NMFS-PCOAST","Splitnose Rockfish Pacific Coast","US West Coast"
"525","SOLECS",NA,"multinational-ICES-VIIf-g","Common sole Celtic Sea","European Union"
"526","SOLEIIIa-2224",NA,"multinational-ICES-22-24-IIIa","Common sole 22-24-IIIa","European Union"
"527","SOLEIS",NA,"multinational-ICES-VIIa","Common sole Irish Sea","European Union"
"528","SOLENS",NA,"multinational-ICES-IV","Common sole North Sea","European Union"
"529","SOLEVIId",NA,"multinational-ICES-VIId","Common sole ICES VIId","European Union"
"530","SOLEVIIe",NA,"multinational-ICES-VIIe","Common sole Western English Channel","European Union"
"531","SOLEVIIh-k",NA,"multinational-ICES-VIIh-k","Common sole VIIh-k","European Union"
"532","SOLEVIIIab",NA,"multinational-ICES-VIIIab","Common sole VIIIab","European Union"
"533","SOLMEDGSA17",NA,"multinational-GFCM-GSA17","Common Sole Northern Adriatic Sea","Mediterranean-Black Sea"
"534","SOUTHHAKECH",NA,"Chile-SUBPESCA-CH-CS","Southern hake Chile","South America"
"535","SOUTHHAKECR",4144,"New Zealand-MFish-CR","Southern hake Chatham Rise","New Zealand"
"536","SOUTHHAKESA",4341,"New Zealand-MFish-SA","Southern hake Sub-Antarctic","New Zealand"
"537","SOUTHHAKEWCSI",8077,"New Zealand-MFish-WCSI","Southern hake West Coast South Island","New Zealand"
"538","SPANMACKGM",NA,"USA-NMFS-GM","Spanish mackerel Gulf of Mexico","US Southeast and Gulf"
"539","SPANMACKSATLC",2750,"USA-NMFS-SATLC","Spanish mackerel Southern Atlantic Coast","US Southeast and Gulf"
"540","SPANMACKSETO",6926.257021,"Japan-FAJ-SETO","Japanese Spanish mackerel Inland Sea of Japan","Russia Japan"
"541","SPHAKECH",NA,"Chile-SUBPESCA-CH-CS","South Pacific Hake Chile","South America"
"542","SPRAT22-32",NA,"multinational-ICES-22-32","Sprat ICES Baltic Areas 22-32","European Union"
"543","SPRATNS",NA,"multinational-ICES-IV","Sprat North Sea","European Union"
"544","SPRBLKGSA29",NA,"multinational-GFCM-GSA29","Sprat Black Sea","Mediterranean-Black Sea"
"545","SPSDOGPCOAST",848,"USA-NMFS-PCOAST","Spotted spiny dogfish Pacific Coast","US West Coast"
"546","SPURDNEATL",NA,"multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Spurdog Northeast Atlantic","European Union"
"547","SRAKEROCKBSAI",NA,"USA-NMFS-BSAI","Shortraker rockfish Bering Sea and Aleutian Islands","US Alaska"
"548","SSANDNSJ",NA,"Japan-FAJ-NSJ","Sailfin sandfish Sea of Japan North","Russia Japan"
"549","SSANDWSJ",6694.38,"Japan-FAJ-WSJ","Sailfin sandfish Sea of Japan West","Russia Japan"
"550","SSARDCH",NA,"Chile-SUBPESCA-CH-CS","Southern sardine Chile","South America"
"551","SSLOBSTERSASC",NA,"South Africa-DETMCM-SASC","Southern spiny lobster South Africa South coast","South Africa"
"552","SSTHORNHPCOAST",2034,"USA-NMFS-PCOAST","Shortspine thornyhead Pacific Coast","US West Coast"
"553","STFLOUNNPCOAST",818,"USA-NMFS-NPCOAST","Starry flounder Northern Pacific Coast","US West Coast"
"554","STFLOUNSPCOAST",396,"USA-NMFS-SPCOAST","Starry flounder Southern Pacific Coast","US West Coast"
"555","STMARLINIO",4218,"multinational-IOTC-IO","Striped marlin Indian Ocean","Indian Ocean"
"556","STMARLINNEPAC",2596,"multinational-IATTC-NEPAC","Striped marlin Northeast Pacific","Pacific Ocean"
"557","STMARLINSWPO",2081,"multinational-WCPFC-WPO","Striped marlin Southwestern Pacific Ocean","Pacific Ocean"
"558","STMARLINWCNPAC",5657,"multinational-ISC-WCNPAC","Striped marlin Western and Central North Pacific","Pacific Ocean"
"559","STRIPEDBASSGOMCHATT",NA,"USA-NMFS-5YCHATT","Striped bass Gulf of Maine / Cape Hatteras","US East Coast"
"560","SURFMATLC",98000,"USA-NMFS-MATLC","Atlantic surfclam Mid-Atlantic Coast","US East Coast"
"561","SWHITSE",2070.344826,"Australia-AFMA-SE","School whiting Southeast Australia","Australia"
"562","SWORDEPAC",54900,"multinational-IATTC-EPAC","Swordfish Eastern Pacific","Pacific Ocean"
"563","SWORDIO",27100,"multinational-IOTC-IO","Swordfish Indian Ocean","Indian Ocean"
"564","SWORDMED",14600,"multinational-ICCAT-MED","Swordfish Mediterranean Sea","Mediterranean-Black Sea"
"565","SWORDNATL",13700,"multinational-ICCAT-NATL","Swordfish North Atlantic","Atlantic Ocean"
"566","SWORDNPAC",14920,"multinational-ISC-NPAC","Swordfish North Pacific","Pacific Ocean"
"567","SWORDSATL",14210,"multinational-ICCAT-SATL","Swordfish South Atlantic","Atlantic Ocean"
"568","TANNERCRABBSAI",NA,"USA-NMFS-BSAI","Tanner crab Bering Sea and Aleutian Islands","US Alaska"
"569","TARAKNZ",682,"New Zealand-MFish-SA","Tarakihi New Zealand","New Zealand"
"570","TBSKAMEDGSA29",NA,"multinational-GFCM-GSA29","Thornback skate Black Sea","Mediterranean-Black Sea"
"571","TIGERFLATSE",2854.058088,"Australia-AFMA-SE","Tiger flathead Southeast Australia","Australia"
"572","TILEGM",NA,"USA-NMFS-GM","Tilefish Gulf of Mexico","US Southeast and Gulf"
"573","TILEMATLC",1029,"USA-NMFS-MATLC","Tilefish Mid-Atlantic Coast","US East Coast"
"574","TILESATLC",253.9886108,"USA-NMFS-SATLC","Tilefish Southern Atlantic coast","US Southeast and Gulf"
"575","TREVALLYTRE7",1818,"New Zealand-MFish-TRE7","Trevally New Zealand Areas TRE 7","New Zealand"
"576","TSKA3LNOPs",6653,"multinational-NAFO-3LNOPs","Thorny skate NAFO-3LNOPs","Canada East Coast"
"577","TURBLKGSA29",NA,"multinational-GFCM-GSA29","Turbot Black Sea","Mediterranean-Black Sea"
"578","TURIV",NA,"multinational-ICES-IV","Turbot North Sea","European Union"
"579","VSNAPGM",1528.606388,"USA-NMFS-GM","Vermilion snapper Gulf of Mexico","US Southeast and Gulf"
"580","VSNAPSATLC",696.7187,"USA-NMFS-SATLC","Vermilion snapper Southern Atlantic coast","US Southeast and Gulf"
"581","WANGLVII-VIIIabd",NA,"multinational-ICES-VII-VIIIabd","White anglerfish VII and VIIIabd","European Union"
"582","WANGLVIIIc-IXa",NA,"multinational-ICES-VIIIc-IXa","White anglerfish VIIIc-IXa","European Union"
"583","WAREHOUESE",966.66474,"Australia-AFMA-ESE","Blue Warehou Eastern half of Southeast Australia","Australia"
"584","WAREHOUWSE",866.7822979,"Australia-AFMA-WSE","Blue Warehou Western half of Southeast Australia","Australia"
"585","WEAKFISHATLC",NA,"USA-NMFS-ATLC","Weakfish Atlantic Coast","US East Coast"
"586","WHAKE3NOPs",3500,"multinational-NAFO-3NOPs","White hake Southern Grand Bank and St. Pierre Bank","Canada East Coast"
"587","WHAKE4RS",9016,"Canada-DFO-4RS","White hake Northern Gulf of St. Lawrence","Canada East Coast"
"588","WHAKE4T",NA,"Canada-DFO-4T","White hake Southern Gulf of St. Lawrence","Canada East Coast"
"589","WHAKEGBGOM",5422,"USA-NMFS-5YZ","White hake Georges Bank / Gulf of Maine","US East Coast"
"590","WHITMEDGSA29",NA,"multinational-GFCM-GSA29","Whiting Black Sea","Mediterranean-Black Sea"
"591","WHITNS-VIId",NA,"multinational-ICES-IV-VIId","Whiting NS-VIId","European Union"
"592","WHITVIa",NA,"multinational-ICES-VIa","Whiting ICES VIa","European Union"
"593","WHITVIIa",NA,"multinational-ICES-VIIa","Whiting Irish Sea","European Union"
"594","WHITVIIek",21000,"multinational-ICES-VIIe-k","Whiting ICES VIIe-k","European Union"
"595","WINDOWGOMGB",700,"USA-NMFS-5YZ","Windowpane flounder - Gulf of Maine / Georges Bank","US East Coast"
"596","WINDOWSNEMATL",500,"USA-NMFS-SNEMATL","Windowpane Southern New England-Mid Atlantic","US East Coast"
"597","WINFLOUN4T",NA,"Canada-DFO-4T","Winter flounder Southern Gulf of St. Lawrence","Canada East Coast"
"598","WINFLOUN5Z",2840,"USA-NMFS-5Z","Winter Flounder NAFO-5Z","US East Coast"
"599","WINFLOUND5Y",NA,"USA-NMFS-5Y","Winter Flounder NAFO-5Y","US East Coast"
"600","WINFLOUNSNEMATL",11728,"USA-NMFS-SNEMATL","Winter Flounder Southern New England-Mid Atlantic","US East Coast"
"601","WITFLOUN4RST",1990,"Canada-DFO-4RST","Witch flounder Gulf of St. Lawrence","Canada East Coast"
"602","WITFLOUN5Y",1957,"USA-NMFS-5Y","Witch Flounder NAFO-5Y","US East Coast"
"603","WLFLOUNNPAC",144.6048296,"Japan-FAJ-NPAC","Willowy flounder North Pacific","Russia Japan"
"604","WMARLINATL",1239,"multinational-ICCAT-ATL","White marlin Atlantic","Atlantic Ocean"
"605","WPOLLAI",NA,"USA-NMFS-AI","Walleye pollock Aleutian Islands","US Alaska"
"606","WPOLLEBS",NA,"USA-NMFS-EBS","Walleye pollock Eastern Bering Sea","US Alaska"
"607","WPOLLGA",NA,"USA-NMFS-GA","Walleye pollock Gulf of Alaska","US Alaska"
"608","WPOLLNAVAR",NA,"Russia-RFFA-NAVAR","Walleye Pollock Navarinsky","Russia Japan"
"609","WPOLLNSO",966700,"Russia-RFFA-NSO","Walleye pollock Northern Sea of Okhotsk","Russia Japan"
"610","WPOLLWBS",NA,"Russia-RFFA-WBS","Walleye pollock Western Bering Sea","Russia Japan"
"611","WROCKPCOAST",7776,"USA-NMFS-PCOAST","Widow rockfish Pacific Coast","US West Coast"
"612","WSHRIMPGM",NA,"USA-NMFS-GM","White shrimp Gulf of Mexico","US Southeast and Gulf"
"613","WVSCALLALASKA",582.412128,"USA-NMFS-ALASKA","Weathervane scallop Alaska","US Alaska"
"614","YEGROUPGM",375,"USA-NMFS-GM","Yellowedge grouper Gulf of Mexico","US Southeast and Gulf"
"615","YELL3LNO",18730,"multinational-NAFO-3LNO","Yellowtail Flounder NAFO 3LNO","Canada East Coast"
"616","YELLCCODGOM",1285,"USA-NMFS-CCOD5Y","Yellowtail flounder Cape Cod / Gulf of Maine","US East Coast"
"617","YELLGB",9400,"USA-NMFS-GB","Yellowtail flounder Georges Bank","US East Coast"
"618","YELLSNEMATL",541,"USA-NMFS-SNEMATL","Yellowtail Flounder Southern New England-Mid Atlantic","US East Coast"
"619","YEYEROCKPCOAST",63,"USA-NMFS-PCOAST","Yelloweye rockfish Pacific Coast","US West Coast"
"620","YFINATL",144600,"multinational-ICCAT-ATL","Yellowfin tuna Atlantic","Atlantic Ocean"
"621","YFINCWPAC",586400,"multinational-WCPFC-CWPAC","Yellowfin tuna Central Western Pacific","Pacific Ocean"
"622","YFINEIO",422000,"multinational-IOTC-IO","Yellowfin tuna Indian Ocean","Indian Ocean"
"623","YFINEPAC",274960,"multinational-IATTC-NEPAC","Yellowfin tuna Eastern Pacific","Pacific Ocean"
"624","YNOSESKACSCH",NA,"Chile-SUBPESCA-CH-CS","Yellownose skate Central-Southern Chile","South America"
"625","YNOSESKASCH",NA,"Chile-SUBPESCA-CH-S","Yellownose skate Southern Chile","South America"
"626","YSOLEBSAI",NA,"USA-NMFS-BSAI","Yellowfin sole Bering Sea and Aleutian Islands","US Alaska"
"627","YTROCKNPCOAST",4805,"USA-NMFS-NPCOAST","Yellowtail rockfish Northern Pacific Coast","US West Coast"
"628","YTSNAPSATLCGM",1700,"USA-NMFS-SATLCGM","Yellowtail Snapper Southern Atlantic Coast and Gulf of Mexico","US Southeast and Gulf"
